名字,发表时间,分数,标题,连接
艾尼抱,2019/8/9 23:58,50,上海堡垒影评,https://movie.douban.com/review/10391090
给自己的情书,2019/8/9 23:58,10,有本事别来县城刷票房啊,https://movie.douban.com/review/10391089
乔里古七,2019/8/9 23:58,50,还原青春--原著党对上海堡垒的点评,https://movie.douban.com/review/10391088
JJLin10969,2019/8/9 23:58,20,整场打了无数个哈欠 这谁顶得住啊,https://movie.douban.com/review/10391086
Secret灬夜乄,2019/8/9 23:57,40,特效炸裂,https://movie.douban.com/review/10391082
Gin,2019/8/9 23:57,20,很大多数人的观感差不多,https://movie.douban.com/review/10391081
豆友201499481,2019/8/9 23:57,10,1.2亿片酬就演成那样？,https://movie.douban.com/review/10391078
Seven小圆,2019/8/9 23:57,10,逻辑混乱，剧情太弱,https://movie.douban.com/review/10391077
蜗牛的尤利西斯,2019/8/9 23:57,20,很一般的电影，但是没那么差,https://movie.douban.com/review/10391076
艾尼抱,2019/8/9 23:56,50,上海堡垒影评,https://movie.douban.com/review/10391072
革命中,2019/8/9 23:56,50,评论,https://movie.douban.com/review/10391068
豆友199606766,2019/8/9 23:55,50,真实想法,https://movie.douban.com/review/10391064
不吃羊的小猪不,2019/8/9 23:55,10,毫无剧情，全程尿点，入睡轻松！,https://movie.douban.com/review/10391062
UnIo111,2019/8/9 23:54,50,灾难来临的时候，分别就只在瞬息之间,https://movie.douban.com/review/10391061
zhongjin,2019/8/9 23:54,50,不吹不黑，客观说一句,https://movie.douban.com/review/10391058
银尘雾都,2019/8/9 23:53,50,终于看到中国科幻电影啦！哈哈哈！开心！支持国产！中国科幻电影加油！,https://movie.douban.com/review/10391051
陌上花开,2019/8/9 23:53,40,值得二刷 中国科幻可以的,https://movie.douban.com/review/10391049
赤豆元宵,2019/8/9 23:51,10,誠信推薦，鹿晗衝鴨!,https://movie.douban.com/review/10391039
西瓜成熟时,2019/8/9 23:51,20,科幻是假 圈钱是真,https://movie.douban.com/review/10391036
B116ruce,2019/8/9 23:49,30,五分科幻，偏心七分,https://movie.douban.com/review/10391028
周粥粥,2019/8/9 23:49,50,上海堡垒,https://movie.douban.com/review/10391026
给你一口甜甜,2019/8/9 23:48,50,好好睡晚安,https://movie.douban.com/review/10391024
豆友201520144,2019/8/9 23:48,50,特效很牛逼，演员演技也在线，尤其是鹿晗进步挺大的,https://movie.douban.com/review/10391022
西西嘻嘻,2019/8/9 23:48,30,上海堡垒观后感,https://movie.douban.com/review/10391021
善良,2019/8/9 23:47,50,上海堡垒,https://movie.douban.com/review/10391018
噼里啪啦,2019/8/9 23:47,30,上海堡垒影评,https://movie.douban.com/review/10391014
清梦留痕,2019/8/9 23:47,10,新世纪版霸道女总裁爱上我？？？,https://movie.douban.com/review/10391011
乌鸦太子,2019/8/9 23:46,10,全程无看点，对白尬到死。,https://movie.douban.com/review/10391009
宁开始了马,2019/8/9 23:46,10,上海真的不考虑告上海堡垒吗,https://movie.douban.com/review/10391008
迷藏LG,2019/8/9 23:46,50,既然大家都对比流浪地球,https://movie.douban.com/review/10391005
租狒狒,2019/8/9 23:45,40,认真看完整部影片后的观后感,https://movie.douban.com/review/10391003
你亲爱的昊先生,2019/8/9 23:45,10,爱情与科幻都想要，结果，一个都没抓住,https://movie.douban.com/review/10391002
水行BLUE,2019/8/9 23:44,10,最烂的地方,https://movie.douban.com/review/10390999
徐泾东,2019/8/9 23:44,10,科幻界新里程碑！11大看点不看后悔！,https://movie.douban.com/review/10390998
克里斯蒂安娜,2019/8/9 23:43,10,上海堡垒 对观众智商和人格的挑战,https://movie.douban.com/review/10390996
F小叙,2019/8/9 23:43,10,科幻元年里的史诗烂片,https://movie.douban.com/review/10390994
铁瓷er铁,2019/8/9 23:43,50,记住下次别送郁金香了，江洋,https://movie.douban.com/review/10390992
七年梦·《睫毛增,2019/8/9 23:43,50,质疑无法避免，但我们不惧怕,https://movie.douban.com/review/10390991
Yiyao woo,2019/8/9 23:43,30,简单说说上海堡垒,https://movie.douban.com/review/10390990
麦休叔叔,2019/8/9 23:42,20,看舒淇面子最多给三星,https://movie.douban.com/review/10390988
小司马迁,2019/8/9 23:42,10,烂烂烂烂,https://movie.douban.com/review/10390984
沧沧,2019/8/9 23:42,40,一次不成功但有意义的尝试,https://movie.douban.com/review/10390983
蔡无术,2019/8/9 23:42,30,《上海堡垒》不作为科幻片，我可以打勉强及格,https://movie.douban.com/review/10390982
江洋,2019/8/9 23:41,50,《上海堡垒》影评（含剧透）,https://movie.douban.com/review/10390979
时生为什么又饿,2019/8/9 23:41,40,放下成见,https://movie.douban.com/review/10390978
哥哥我心怦怦跳,2019/8/9 23:41,50,上海堡垒的观后感,https://movie.douban.com/review/10390977
irischerry,2019/8/9 23:40,40,江洋好好睡，晚安??,https://movie.douban.com/review/10390973
甜筒媛7,2019/8/9 23:39,50,人之恶的一角真的是让人反胃透了，恶意铺天盖地毫无理智，白成黑！,https://movie.douban.com/review/10390970
豆友201520144,2019/8/9 23:39,50,特效很牛逼，演员演技也在线，尤其是鹿晗进步挺大的，加油，我们支持你！,https://movie.douban.com/review/10390967
蘑菇桑,2019/8/9 23:38,30,理性评价,https://movie.douban.com/review/10390965
深海淡水鱼,2019/8/9 23:38,50,别盲目更风黑和嘲了，带点儿脑子有点儿大局观OK？,https://movie.douban.com/review/10390960
vyin微音,2019/8/9 23:38,40,请客观评价：上海堡垒,https://movie.douban.com/review/10390958
那个欣,2019/8/9 23:38,20,看完回来我真情实感了,https://movie.douban.com/review/10390957
stv,2019/8/9 23:37,10,实在太差劲了有严重质量问题,https://movie.douban.com/review/10390956
灼灼佐,2019/8/9 23:37,50,上海堡垒,https://movie.douban.com/review/10390955
诺晗妈,2019/8/9 23:37,50,特效，五星！剧情，三星半！综合得分：四星，还有一星给幕后工作人员。,https://movie.douban.com/review/10390953
谢明宏,2019/8/9 23:37,20,《上海堡垒》错过了它的小时代,https://movie.douban.com/review/10390950
清香白莲素还真,2019/8/9 23:37,10,3分高了,https://movie.douban.com/review/10390948
耶叔,2019/8/9 23:36,10,看电影用了一个小时，平复心情用了一整天,https://movie.douban.com/review/10390947
豆友201521615,2019/8/9 23:36,50,好,https://movie.douban.com/review/10390946
一方青石°,2019/8/9 23:36,10,暑期档电影里的泥石流。,https://movie.douban.com/review/10390945
高小天,2019/8/9 23:36,20,导演：我也不知道演的是啥，你们瞎看吧。,https://movie.douban.com/review/10390944
kxk,2019/8/9 23:36,10,对流量没意见,https://movie.douban.com/review/10390943
慕久年,2019/8/9 23:36,50,因为鹿晗而不去看电影的人是怎么想的？,https://movie.douban.com/review/10390942
豆友201521615,2019/8/9 23:35,50,我觉得很不错,https://movie.douban.com/review/10390938
鹿哥哥吖,2019/8/9 23:35,50,自我感觉特别好,https://movie.douban.com/review/10390936
上海堡垒,2019/8/9 23:35,50,恶意刷低分棍棒,https://movie.douban.com/review/10390935
yihan,2019/8/9 23:35,40,我觉得还行,https://movie.douban.com/review/10390934
豆友201520144,2019/8/9 23:35,50,特效很牛逼，            演员演技也在线，        尤其是鹿晗进步挺大的，             加油，我们支持你，             其实鹿晗也挺适合当男主角。,https://movie.douban.com/review/10390933
木子现,2019/8/9 23:34,30,世界上不是所有的爱情都有解 ，但为了过审，可以有解。,https://movie.douban.com/review/10390931
七鹿,2019/8/9 23:34,30,中国科幻片的起步,https://movie.douban.com/review/10390930
Angela,2019/8/9 23:34,10,这是今年最好的科幻MV。,https://movie.douban.com/review/10390929
豆友201520441,2019/8/9 23:34,10,自己看看好吗，真不是黑！！！,https://movie.douban.com/review/10390928
苚,2019/8/9 23:34,50,只针对刚刚起步的中国科幻,https://movie.douban.com/review/10390927
MLH,2019/8/9 23:34,50,最后五分钟,https://movie.douban.com/review/10390922
小白老师,2019/8/9 23:33,10,白狼影评：《上海堡垒》——挡住了外星人，没挡住烂片,https://movie.douban.com/review/10390918
西遇,2019/8/9 23:33,40,我没看过原著！！！,https://movie.douban.com/review/10390917
sharon,2019/8/9 23:33,10,客观来说，特效不错,https://movie.douban.com/review/10390916
沙特aria,2019/8/9 23:33,50,人物与感情可圈可点，亮点总是在细节处闪烁,https://movie.douban.com/review/10390915
茶铺,2019/8/9 23:32,50,优点缺点兼具,https://movie.douban.com/review/10390913
蚊子,2019/8/9 23:31,20,我就是想吐个槽,https://movie.douban.com/review/10390905
txx,2019/8/9 23:31,50,《上海堡垒》值得被看到,https://movie.douban.com/review/10390903
球喵,2019/8/9 23:31,50,台风天看的出来风大得要把人吹走,https://movie.douban.com/review/10390902
jack1987,2019/8/9 23:31,10,看到鹿晗的发型，就不想看，因为怎么看都不像是拯救末日的战士。,https://movie.douban.com/review/10390901
樱殇之恋,2019/8/9 23:31,30,上海堡垒：本想成为王者，结果却成了废铁,https://movie.douban.com/review/10390900
飘摇,2019/8/9 23:30,10,特效一般，感情线和剧情线双双稀烂,https://movie.douban.com/review/10390895
一把胡子,2019/8/9 23:30,10,珍惜爱电影观众，圈钱适可而止,https://movie.douban.com/review/10390894
，，，，,2019/8/9 23:30,50,好评好评好评,https://movie.douban.com/review/10390893
是月半月半口阿,2019/8/9 23:29,40,去看了传说中的奥特曼特效 只想说尬黑做个人吧?,https://movie.douban.com/review/10390890
思之则暖,2019/8/9 23:29,50,我觉得还不错,https://movie.douban.com/review/10390889
DIO,2019/8/9 23:29,20,上海堡垒，毫无诚意的改编电影,https://movie.douban.com/review/10390888
奶香蘭,2019/8/9 23:29,50,我们都是愿意进步的,https://movie.douban.com/review/10390887
?王甜甜的摩托车,2019/8/9 23:28,50,我要夸夸它,https://movie.douban.com/review/10390885
z,2019/8/9 23:28,10,主演的头式太牛了,https://movie.douban.com/review/10390884
叶孤城,2019/8/9 23:28,10,一步教科书式的烂片,https://movie.douban.com/review/10390882
Ahri,2019/8/9 23:28,50,来自鹿晗三年粉丝的客观评价 放下所谓偏见的偏执吧,https://movie.douban.com/review/10390880
易盛,2019/8/9 23:27,30,一般般吧,https://movie.douban.com/review/10390877
时间,2019/8/9 23:27,20,上海堡垒，希望你再接再厉。,https://movie.douban.com/review/10390875
Reindeer,2019/8/9 23:27,30,个人感受，勿喷,https://movie.douban.com/review/10390874
豆友201520744,2019/8/9 23:27,50,上海堡垒,https://movie.douban.com/review/10390873
90,2019/8/9 23:26,40,为何大家能原谅流浪地球 却容不下上海堡垒？,https://movie.douban.com/review/10390871
DouBiTheKing,2019/8/9 23:26,10,牛逼,https://movie.douban.com/review/10390870
菊花茶,2019/8/9 23:25,10,我们这的票房，你们谁买电影票专门去选第一排的？？无力吐槽了,https://movie.douban.com/review/10390867
九玖,2019/8/9 23:25,50,电影上海堡垒，值得一看,https://movie.douban.com/review/10390860
7,2019/8/9 23:25,50,个人观后感,https://movie.douban.com/review/10390859
夙澤-ZY,2019/8/9 23:25,40,上海堡垒需要肯定，也需要进步,https://movie.douban.com/review/10390858
豆友181654854,2019/8/9 23:24,50,给中国科幻电影一点耐心,https://movie.douban.com/review/10390854
声色犬马,2019/8/9 23:24,10,现在豆瓣3.5，你是真的配,https://movie.douban.com/review/10390850
千羽与故事,2019/8/9 23:23,10,无敌是多么寂寞,https://movie.douban.com/review/10390849
愿你啊,2019/8/9 23:23,50,非常值得多刷的电影,https://movie.douban.com/review/10390846
(&gt;^ω^&lt;)喵,2019/8/9 23:22,20,我头一次觉得我上我也行,https://movie.douban.com/review/10390844
昼晦,2019/8/9 23:22,50,本来该打个三星鼓励一下，打个四星拉一下分，3点几分真的看不下去了,https://movie.douban.com/review/10390843
我我我我不想干,2019/8/9 23:22,50,上海堡垒,https://movie.douban.com/review/10390841
熊升树,2019/8/9 23:21,40,《上海堡垒》不要为黑而黑，它值得拥有更多评分,https://movie.douban.com/review/10390840
旅行者,2019/8/9 23:20,10,不接受,https://movie.douban.com/review/10390832
子非鱼,2019/8/9 23:20,10,流量再次扑gai的一部电影,https://movie.douban.com/review/10390831
铭刻年华,2019/8/9 23:20,50,货真价实的观后感,https://movie.douban.com/review/10390828
宠爱绽放,2019/8/9 23:19,40,没那么差呀！至少及格是有的,https://movie.douban.com/review/10390824
说是草莓酱,2019/8/9 23:19,40,好好睡 晚安,https://movie.douban.com/review/10390821
哈哈乐乐有气泡,2019/8/9 23:18,40,透过鹿晗，看到一个完整的上海堡垒,https://movie.douban.com/review/10390819
陌路离殇,2019/8/9 23:18,50,上海堡垒推荐！！,https://movie.douban.com/review/10390817
咔咔xi,2019/8/9 23:18,20,上海堡垒烂片真的只是鹿晗的锅吗？,https://movie.douban.com/review/10390816
仰望天堂,2019/8/9 23:17,10,零分，零分，零分，《上海堡垒》2019烂片里程碑,https://movie.douban.com/review/10390811
what if I said,2019/8/9 23:17,40,六年打磨 不负期待,https://movie.douban.com/review/10390809
Fan,2019/8/9 23:17,50,值得去影院感动下,https://movie.douban.com/review/10390807
彩笺知何处,2019/8/9 23:16,50,转载一个路人评价,https://movie.douban.com/review/10390803
军武天下,2019/8/9 23:16,30,终于看过了……,https://movie.douban.com/review/10390801
UIU,2019/8/9 23:16,10,我对这些脑残粉和小鲜肉的看法,https://movie.douban.com/review/10390800
姬玉joy,2019/8/9 23:15,50,东方特色的科幻片 中国人vs外星人,https://movie.douban.com/review/10390797
爱喝茶的大妹子,2019/8/9 23:15,50,纯路人角度之为什么我打了十分,https://movie.douban.com/review/10390796
=°Д°=,2019/8/9 23:15,10,听说前期宣传花了很多功夫，但这部电影真的不好看,https://movie.douban.com/review/10390794
追逐、,2019/8/9 23:14,10,不要去！,https://movie.douban.com/review/10390790
qqqqqqqqqqqqqq,2019/8/9 23:14,20,上海堡垒剧情,https://movie.douban.com/review/10390789
小桃子,2019/8/9 23:13,50,继续加油,https://movie.douban.com/review/10390783
胡说一通,2019/8/9 23:13,10,这个我不会评，什么东西啊?,https://movie.douban.com/review/10390782
edmo,2019/8/9 23:13,50,国产巨作,https://movie.douban.com/review/10390781
fairytroye,2019/8/9 23:12,40,有感,https://movie.douban.com/review/10390778
Su,2019/8/9 23:12,40,两星给特效两星给演员,https://movie.douban.com/review/10390777
顾三木,2019/8/9 23:11,50,不要盲目假大空的吹，但也请别恶意诋毁。,https://movie.douban.com/review/10390776
七号,2019/8/9 23:11,50,就事论事,https://movie.douban.com/review/10390773
欢乐马,2019/8/9 23:10,30,《上海堡垒》观影体验,https://movie.douban.com/review/10390768
沈初一,2019/8/9 23:10,10,科技元年的终结,https://movie.douban.com/review/10390767
豆友201445809,2019/8/9 23:09,10,一部难得让人看了生气的电影,https://movie.douban.com/review/10390755
bibik,2019/8/9 23:09,10,无人机，你们人上去干嘛？,https://movie.douban.com/review/10390751
风中草青晴*,2019/8/9 23:09,50,电影成功之处在于动人，上海堡垒做到了！,https://movie.douban.com/review/10390750
Vision,2019/8/9 23:08,10,这是一部圈钱的流水账，不配称之为电影,https://movie.douban.com/review/10390746
球儿,2019/8/9 23:08,50,好,https://movie.douban.com/review/10390745
小幸运,2019/8/9 23:08,40,比起失望，更多的是遗憾,https://movie.douban.com/review/10390744
啾嘟嘟,2019/8/9 23:07,40,上海堡垒,https://movie.douban.com/review/10390741
维他柠檬茶,2019/8/9 23:07,50,希望大家能够放下成见，客观评价电影,https://movie.douban.com/review/10390740
南木非舟,2019/8/9 23:07,50,用这一仗赢你和勋章，你在勋章之前。,https://movie.douban.com/review/10390738
事已关己,2019/8/9 23:06,10,投资人须跟导演打官司,https://movie.douban.com/review/10390734
鲨??,2019/8/9 23:06,10,整部剧毫无意义,https://movie.douban.com/review/10390733
扁舟向孤岛,2019/8/9 23:06,30,不够好看，不值得二刷，但也值得肯定,https://movie.douban.com/review/10390731
石璞,2019/8/9 23:06,20,其实稍微改一些细节和基础设定还是能及格的,https://movie.douban.com/review/10390729
onlyonekiss,2019/8/9 23:06,30,藤导隐藏的巨大阴谋,https://movie.douban.com/review/10390727
姜伯文,2019/8/9 23:05,20,向粉丝证明低分不是尬黑，盘点这个片子到底烂在哪。,https://movie.douban.com/review/10390725
豆友200812972,2019/8/9 23:05,50,抛掉偏见，平心而论,https://movie.douban.com/review/10390724
精于选择,2019/8/9 23:05,10,找呆湾演员做主角都是煞笔,https://movie.douban.com/review/10390723
美女大大家的鹿,2019/8/9 23:05,50,你们到底看过了没有？张嘴瞎说就来。,https://movie.douban.com/review/10390721
Satan_zhengfa,2019/8/9 23:04,40,电影应该总是难以表达小说所想表达的内容,https://movie.douban.com/review/10390719
超大个大金鱼,2019/8/9 23:04,50,。,https://movie.douban.com/review/10390718
早上好，阁下,2019/8/9 23:04,30,聊一聊《上海堡垒》问题出在何处,https://movie.douban.com/review/10390713
初霁,2019/8/9 23:04,30,《上海堡垒》与《流浪地球》给我的感受,https://movie.douban.com/review/10390711
菠萝油,2019/8/9 23:03,40,我打四星：三星给电影，一星给鹿晗。,https://movie.douban.com/review/10390710
豆友200220034,2019/8/9 23:03,10,作为二刷《上海堡垒》的男人，请问我能不能打两次星？,https://movie.douban.com/review/10390708
皮蛋叔叔。,2019/8/9 23:03,30,电影本与“演员”无关，只与“演技”有关,https://movie.douban.com/review/10390707
leiom,2019/8/9 23:03,10,导演，请用点心吧,https://movie.douban.com/review/10390705
王喂马·,2019/8/9 23:03,10,请以包容的心态观看电影,https://movie.douban.com/review/10390704
惟将终夜长开眼,2019/8/9 23:02,10,预测烂片,https://movie.douban.com/review/10390703
爱电影爱看电影,2019/8/9 23:02,10,标准烂片…爆米花电影都算不上…,https://movie.douban.com/review/10390700
OK,2019/8/9 23:01,50,上海堡垒,https://movie.douban.com/review/10390694
大志,2019/8/9 23:01,10,第一次影评，看着生气的上海堡垒,https://movie.douban.com/review/10390693
余生_,2019/8/9 23:01,50,上海堡垒超棒！,https://movie.douban.com/review/10390692
???????,2019/8/9 23:00,10,流精与流泪,https://movie.douban.com/review/10390690
浪骨ls～,2019/8/9 23:00,50,上海堡垒影评！！！,https://movie.douban.com/review/10390684
Lynne,2019/8/9 22:59,20,我看了个啥玩意？,https://movie.douban.com/review/10390680
Specter Galaxy,2019/8/9 22:59,10,幻灭之片,https://movie.douban.com/review/10390679
去天堂打酱油,2019/8/9 22:58,50,不得不吐槽的上海堡垒,https://movie.douban.com/review/10390678
妮妮nini,2019/8/9 22:58,50,6块1条真的唾弃,https://movie.douban.com/review/10390677
言失影评,2019/8/9 22:58,10,华语科幻电影“新”高度,https://movie.douban.com/review/10390676
一颗,2019/8/9 22:58,50,特效是亮点,https://movie.douban.com/review/10390673
残冬廿,2019/8/9 22:57,10,毫无疑问的烂片,https://movie.douban.com/review/10390670
鹿小萌灰常萌,2019/8/9 22:57,50,其实，是个还不错的一个电影,https://movie.douban.com/review/10390669
惟将终夜长开眼,2019/8/9 22:57,10,预测烂片,https://movie.douban.com/review/10390668
ZeeKon,2019/8/9 22:57,20,中国电影人加油！,https://movie.douban.com/review/10390666
JYUUI,2019/8/9 22:56,20,它击穿了我内心的SF堡垒,https://movie.douban.com/review/10390664
豆友201517246,2019/8/9 22:56,10,太好看了，就是声音有点大，吵的我睡不着觉。,https://movie.douban.com/review/10390663
Alex,2019/8/9 22:55,10,淘票票已经被水军攻陷了,https://movie.douban.com/review/10390657
phoiy.,2019/8/9 22:55,50,上海堡垒是要给国漫打助攻啊，谢谢了,https://movie.douban.com/review/10390651
湘守一生,2019/8/9 22:55,20,优点较少槽点太多,https://movie.douban.com/review/10390650
kerry,2019/8/9 22:54,50,非常棒的一部科幻战争电影！,https://movie.douban.com/review/10390645
边蘑菇菇,2019/8/9 22:54,50,不一样的上海堡垒,https://movie.douban.com/review/10390643
不是你的喵,2019/8/9 22:54,50,小人物形形色色，英雄的背影也没有固定轮廓,https://movie.douban.com/review/10390642
得失,2019/8/9 22:54,10,真烂,https://movie.douban.com/review/10390641
火联君,2019/8/9 22:54,10,值得奖励星星的电影,https://movie.douban.com/review/10390640
莉莉小熊,2019/8/9 22:53,10,豆瓣为什么不能打0星啊！,https://movie.douban.com/review/10390635
呜哩叭噪,2019/8/9 22:53,50,鹿晗，让我看见了中国男人的坚韧。,https://movie.douban.com/review/10390628
由坂杏梨子,2019/8/9 22:53,50,鹿晗演技真的有提升，他一路走过来面对质疑真的不容易。,https://movie.douban.com/review/10390627
轻城,2019/8/9 22:52,30,如果这部电影不是鹿晗演呢,https://movie.douban.com/review/10390619
任毛,2019/8/9 22:51,10,能不能不恶心了,https://movie.douban.com/review/10390610
西北有高楼,2019/8/9 22:51,30,上海堡垒是科幻电影？！？,https://movie.douban.com/review/10390609
盼笑颜pxy,2019/8/9 22:50,50,导演和编剧脑子里到底糊了多少浆糊,https://movie.douban.com/review/10390606
弑明,2019/8/9 22:50,30,无功无过，无喜无悲,https://movie.douban.com/review/10390603
改过自新学男德,2019/8/9 22:49,20,看个特效就完事啦，全员情感表达障碍,https://movie.douban.com/review/10390596
张小鱼  丫,2019/8/9 22:49,50,上海堡垒真的不错,https://movie.douban.com/review/10390595
任浩哲rr,2019/8/9 22:48,20,《上海堡垒》流量已死，中国电影的钙补好了。,https://movie.douban.com/review/10390593
吃豆的豆豆,2019/8/9 22:47,10,好吧，我真的去看了电影,https://movie.douban.com/review/10390588
曹胜秋,2019/8/9 22:47,20,特效还凑合，剧情硬伤太多,https://movie.douban.com/review/10390584
双月鲲鹏,2019/8/9 22:47,10,请容我论证一下它为什么是一坨屎,https://movie.douban.com/review/10390583
小橘子,2019/8/9 22:46,50,一些真实的感触,https://movie.douban.com/review/10390581
MAY,2019/8/9 22:46,50,还不错哦,https://movie.douban.com/review/10390580
踏无无行,2019/8/9 22:46,10,公平公正公开的评价,https://movie.douban.com/review/10390579
Rothschild,2019/8/9 22:45,10,顺应时代，何必挣扎？,https://movie.douban.com/review/10390577
拉达蹦吧,2019/8/9 22:44,30,比预想的好看，彩蛋最值！！！！,https://movie.douban.com/review/10390575
Willis Hz,2019/8/9 22:44,20,没眼看,https://movie.douban.com/review/10390573
清风七绿,2019/8/9 22:44,50,上海堡垒值得一看,https://movie.douban.com/review/10390572
诺妈,2019/8/9 22:44,10,流量瘟疫可以止住了吗？,https://movie.douban.com/review/10390570
南极以南,2019/8/9 22:44,10,什么鬼,https://movie.douban.com/review/10390568
星辰??,2019/8/9 22:43,10,全片最佳：翻唱的片尾曲,https://movie.douban.com/review/10390561
音饭其实是颜狗,2019/8/9 22:43,50,寄我的初恋(有轻微剧透),https://movie.douban.com/review/10390559
小小平凡,2019/8/9 22:43,50,只想说说我看到的,https://movie.douban.com/review/10390558
弦上月满,2019/8/9 22:43,10,关于上海堡垒,https://movie.douban.com/review/10390557
美美,2019/8/9 22:42,20,我给2星的理由,https://movie.douban.com/review/10390556
四九城里的少年,2019/8/9 22:41,40,致少年：好好睡，晚安。,https://movie.douban.com/review/10390548
小夏同学,2019/8/9 22:41,50,上海堡垒为什么会被尬黑？,https://movie.douban.com/review/10390547
wadlesay,2019/8/9 22:40,10,第一次影评献给上海堡垒,https://movie.douban.com/review/10390546
奶酪?,2019/8/9 22:40,50,上海堡垒,https://movie.douban.com/review/10390543
Swan,2019/8/9 22:40,30,就一般水平的电影，在各个方面也不至于3分。,https://movie.douban.com/review/10390541
兜不逗,2019/8/9 22:39,30,上海堡垒的末日危机有点暖,https://movie.douban.com/review/10390534
qi11616,2019/8/9 22:39,40,好好睡，晚安,https://movie.douban.com/review/10390532
nice boy,2019/8/9 22:39,50,一个原著党的感想,https://movie.douban.com/review/10390531
兜不逗,2019/8/9 22:39,30,上海堡垒的末日危机有点暖,https://movie.douban.com/review/10390530
RedBEAn,2019/8/9 22:38,10,(涉及一点点剧透)上海宣传片之手机传情,https://movie.douban.com/review/10390528
晚秋.,2019/8/9 22:38,50,中国科幻真的一直在进步！,https://movie.douban.com/review/10390526
栗子,2019/8/9 22:37,40,强烈推荐,https://movie.douban.com/review/10390518
NGC2467,2019/8/9 22:36,40,影评，这四分给的是特效和演员和音乐的,https://movie.douban.com/review/10390512
HZL,2019/8/9 22:34,30,一个有点无聊的电影,https://movie.douban.com/review/10390503
粉红色的蒲公英5,2019/8/9 22:34,50,最大的问题不是演技，科幻加油吧。,https://movie.douban.com/review/10390502
D.K,2019/8/9 22:34,10,不但是关了门，还给焊死了吧！,https://movie.douban.com/review/10390501
酒酿圆子,2019/8/9 22:34,40,珍惜每一个认真对待电影的人,https://movie.douban.com/review/10390500
张天览,2019/8/9 22:34,40,炮弹和情感的穿越,https://movie.douban.com/review/10390499
一不,2019/8/9 22:33,10,不推荐！幸好是预售买，没亏太狠！,https://movie.douban.com/review/10390497
西轩零雨,2019/8/9 22:33,10,我从未见过如此烂得电影，还敢打科幻旗号。,https://movie.douban.com/review/10390495
懒得废话lll,2019/8/9 22:33,10,服了真的服了,https://movie.douban.com/review/10390494
铠甲合体,2019/8/9 22:32,20,我只是觉得可惜了一个童年回忆,https://movie.douban.com/review/10390493
夫君,2019/8/9 22:32,10,有鹿晗的电影以后一定不会再看他,https://movie.douban.com/review/10390492
HJ橘子,2019/8/9 22:32,40,中国制造的科幻灾难片，相对真实的人性走向,https://movie.douban.com/review/10390491
zHIRENwU,2019/8/9 22:32,50,因为前女友而给五星！,https://movie.douban.com/review/10390489
M.A.D.M.A.N.,2019/8/9 22:32,10,上海堡垒很科学？很可笑！,https://movie.douban.com/review/10390488
留住冰川.,2019/8/9 22:32,50,好看！都给我看！,https://movie.douban.com/review/10390487
kobezjs,2019/8/9 22:31,10,烂片之王,https://movie.douban.com/review/10390484
宋若曦Roy,2019/8/9 22:31,10,通过《上海堡垒》教你怎么识别烂片,https://movie.douban.com/review/10390483
糖仙贝,2019/8/9 22:31,10,上海堡垒宣发：这一颗星是你们自找的。,https://movie.douban.com/review/10390482
?你太美,2019/8/9 22:31,10,?含,https://movie.douban.com/review/10390481
杏子咖啡館,2019/8/9 22:31,20,不能全怪恶评，这电影真的不太可,https://movie.douban.com/review/10390480
荒桔,2019/8/9 22:31,50,我只相信自己的判断，自己的眼泪。,https://movie.douban.com/review/10390479
愛上屈原,2019/8/9 22:31,50,上海堡垒票房大卖,https://movie.douban.com/review/10390478
理科班的小姑娘,2019/8/9 22:31,40,一部电影的好坏，被评判的应该不止是演员,https://movie.douban.com/review/10390477
爱生活,2019/8/9 22:30,50,很燃啊，应该支持国产！！！,https://movie.douban.com/review/10390474
加点酸奶的芒果,2019/8/9 22:30,50,认认真真写得影评,https://movie.douban.com/review/10390470
无羁,2019/8/9 22:29,50,《上海堡垒》观后感,https://movie.douban.com/review/10390467
M萧七,2019/8/9 22:29,50,《上海堡垒》二三事影评,https://movie.douban.com/review/10390465
 ??,2019/8/9 22:29,50,关于《上海堡垒》,https://movie.douban.com/review/10390464
晴天公仔,2019/8/9 22:29,20,上海堡垒 观后感,https://movie.douban.com/review/10390463
?,2019/8/9 22:28,50,上海堡垒有缺陷，但没有那么糟。,https://movie.douban.com/review/10390461
柒.,2019/8/9 22:28,50,《上海堡垒》值得一观,https://movie.douban.com/review/10390460
熊猫,2019/8/9 22:28,10,导演 编剧 演员 真的是烂到家,https://movie.douban.com/review/10390459
子夜歌85995,2019/8/9 22:28,40,公平的看一下上海堡垒吧?～,https://movie.douban.com/review/10390458
点杯红茶,2019/8/9 22:28,50,支持中国科幻电影,https://movie.douban.com/review/10390456
依艺,2019/8/9 22:27,50,很值得看,https://movie.douban.com/review/10390452
依艺,2019/8/9 22:27,50,很值得看,https://movie.douban.com/review/10390449
大米 飯,2019/8/9 22:27,10,我也不知道我为什么要买票,https://movie.douban.com/review/10390448
阿靖,2019/8/9 22:27,30,以熟悉的21世纪上海作为n年后的科幻片背景，太没有代入感了。,https://movie.douban.com/review/10390447
宋焰song,2019/8/9 22:26,50,支持中国科幻片,https://movie.douban.com/review/10390446
救了条鱼,2019/8/9 22:25,50,上海堡垒,https://movie.douban.com/review/10390440
