名字,发表时间,分数,标题,连接
雅痞,2019/8/12 10:28,10,剧情、演员让人情何以堪,https://movie.douban.com/review/10400484
robbie821,2019/8/12 10:25,20,一看到主演鹿晗就知道是烂片了,https://movie.douban.com/review/10400477
琛祁久源,2019/8/12 10:25,10,流浪地球打开的  我上海堡垒为你合上,https://movie.douban.com/review/10400476
执离一梦,2019/8/12 10:19,40,支持中国特效吧,https://movie.douban.com/review/10400454
梓轩,2019/8/12 10:18,10,烂,https://movie.douban.com/review/10400450
天尘,2019/8/12 10:14,10,原著粉千万别去看,https://movie.douban.com/review/10400438
莫珍露,2019/8/12 10:09,30,世界观构造有bug的未日战争科幻电影,https://movie.douban.com/review/10400422
逍遥散客,2019/8/12 10:06,10,无关紧要的影评，因为中国电影人很少为它买单,https://movie.douban.com/review/10400413
熊叔叔,2019/8/12 10:01,10,流量与无脑粉丝的欺诈+原作不是你的挡箭牌,https://movie.douban.com/review/10400394
赵仙女在宁波,2019/8/12 9:56,20,也不知道是为了什么在台风天去看这部片~,https://movie.douban.com/review/10400378
yamasite,2019/8/12 9:51,10,烂片与流量IP,https://movie.douban.com/review/10400361
烂片西红柿,2019/8/12 9:48,10,嗯  90  后  70后,https://movie.douban.com/review/10400351
茚迹,2019/8/12 9:45,10,烂剧！,https://movie.douban.com/review/10400346
虾蛄,2019/8/12 9:43,10,你们有点乐观,https://movie.douban.com/review/10400344
伟伟,2019/8/12 9:39,10,垃圾,https://movie.douban.com/review/10400338
静听SJ,2019/8/12 9:39,10,免费都不去看，浪费时间,https://movie.douban.com/review/10400335
bin?,2019/8/12 9:38,10,这是部具有跨时代意义的电影。,https://movie.douban.com/review/10400331
humphrey,2019/8/12 9:36,30,这部电影最大的失败在于宣传这是部中国科幻电影,https://movie.douban.com/review/10400326
maybepossible,2019/8/12 9:36,20,无题,https://movie.douban.com/review/10400323
_喜欢满天星.,2019/8/12 9:35,50,电影真的不错，就是有人过于偏见,https://movie.douban.com/review/10400318
"刘凯文,   傻子",2019/8/12 9:31,10,千万不要抱着好奇的心态去看，你会悔死，,https://movie.douban.com/review/10400303
就算没有吃药也,2019/8/12 9:31,10,书粉和路人都没好感的电影是想给谁看？,https://movie.douban.com/review/10400302
聪哥哥??,2019/8/12 9:26,10,看完评论没有去看的欲望了,https://movie.douban.com/review/10400289
当个好裁缝,2019/8/12 9:26,10,教大家怎么写影评吸引路人,https://movie.douban.com/review/10400287
刘**,2019/8/12 9:24,10,2019年度，还没看，就不想看的电影。,https://movie.douban.com/review/10400283
?,2019/8/12 9:20,10,上海堡垒,https://movie.douban.com/review/10400277
风一样的男子﹌,2019/8/12 9:15,40,一部合格的国产科幻片。,https://movie.douban.com/review/10400269
刘先森,2019/8/12 9:14,10,1星都感觉亏了,https://movie.douban.com/review/10400268
aoi ,2019/8/12 9:14,10,可以退电影票的钱吗？,https://movie.douban.com/review/10400267
啦啦啦德,2019/8/12 9:14,10,烂,https://movie.douban.com/review/10400266
脑子里装点东西,2019/8/12 9:13,10,神预测吧！,https://movie.douban.com/review/10400264
宏吖嘛红,2019/8/12 9:12,10,以为纵容这种人，中国电影就完了。,https://movie.douban.com/review/10400259
豆友187296218,2019/8/12 9:08,10,很期待的一部电影,https://movie.douban.com/review/10400248
非不是,2019/8/12 9:02,10,凭一己之力，将中国科幻电影打回原形！,https://movie.douban.com/review/10400239
猫森林,2019/8/12 9:00,20,《上海堡垒》倒掉了，中国电影有救了,https://movie.douban.com/review/10400231
Cheung,2019/8/12 8:57,10,烂,https://movie.douban.com/review/10400228
石煌,2019/8/12 8:46,10,演什么电影，帅就行了,https://movie.douban.com/review/10400210
潮流爱新鲜,2019/8/12 8:40,10,上海堡垒，中国电影流量时代的结束！,https://movie.douban.com/review/10400197
ashero,2019/8/12 8:38,20,上海堡垒：对不起，鹿晗+舒淇的CP组合，这糖我实在磕不动！,https://movie.douban.com/review/10400196
麦先生,2019/8/12 8:34,10,大家别黑电影了好吗？演员很辛苦的，演上海爱情之堡垒故事容易嘛,https://movie.douban.com/review/10400193
反坦克指挥官,2019/8/12 8:33,10,垃圾,https://movie.douban.com/review/10400189
王爷,2019/8/12 8:21,30,上海堡垒的硬伤（不吹不黑3星6分）,https://movie.douban.com/review/10400178
范雨,2019/8/12 8:14,20,喜欢这部电影的也喜欢看这些,https://movie.douban.com/review/10400173
豆友201730141,2019/8/12 6:52,10,垃圾,https://movie.douban.com/review/10400113
serklouxz,2019/8/12 6:37,10,上海堡垒，中国恰烂钱电影最为坚固的堡垒,https://movie.douban.com/review/10400106
王硕,2019/8/12 6:33,10,真的不好看,https://movie.douban.com/review/10400104
k,2019/8/12 5:18,10,要求增加0分选项,https://movie.douban.com/review/10400079
k,2019/8/12 5:15,10,强烈要求增加0星选项,https://movie.douban.com/review/10400074
John.Lee,2019/8/12 4:52,10,这也是科幻电影,https://movie.douban.com/review/10400065
以和为贵,2019/8/12 4:33,10,累了这么累了,https://movie.douban.com/review/10400058
polar,2019/8/12 4:27,10,圈圈圆圆圈圈,https://movie.douban.com/review/10400057
小金,2019/8/12 4:17,10,上海堡垒票房扑街，如何看待流量,https://movie.douban.com/review/10400050
绵羊仔,2019/8/12 4:09,10,8.8,https://movie.douban.com/review/10400044
sf001,2019/8/12 4:07,20,《上海堡垒》的意义,https://movie.douban.com/review/10400043
壞品味牛牛,2019/8/12 3:57,10,茫然,https://movie.douban.com/review/10400038
哼,2019/8/12 3:55,10,还能说啥，你大爷的！,https://movie.douban.com/review/10400035
帮不你,2019/8/12 3:53,10,为啥这么烂的理由,https://movie.douban.com/review/10400034
PhosPhorus?,2019/8/12 3:43,10,流量的时代，该有其匹配的负星评价。,https://movie.douban.com/review/10400021
王路飞,2019/8/12 3:38,10,刚刚燃起的国产科幻兴致又被灭了,https://movie.douban.com/review/10400019
你这嫑脸的,2019/8/12 3:33,10,不黑不吹就算换个男主角演也没有几个比鹿晗演的牛?,https://movie.douban.com/review/10400016
Ma-Jing晶,2019/8/12 3:28,30,虽然不好，但也没那么差,https://movie.douban.com/review/10400012
Vichy-鹿,2019/8/12 3:12,50,还可以,https://movie.douban.com/review/10400003
Wing,2019/8/12 2:51,0,商业的逻辑,https://movie.douban.com/review/10399990
荡姐,2019/8/12 2:43,10,抱歉，该场次已售完，请选择其他场次…,https://movie.douban.com/review/10399984
王……,2019/8/12 2:42,10,以后请别拿观众当傻子,https://movie.douban.com/review/10399982
豆友184540697,2019/8/12 2:38,10,小鲜肉,https://movie.douban.com/review/10399976
あ秋枫い,2019/8/12 2:34,10,长发还中分这是中国军人形象？,https://movie.douban.com/review/10399972
黄昏下的孤岛,2019/8/12 2:16,10,害搁着刷五星呢？书都被烧了,https://movie.douban.com/review/10399960
pat.wu,2019/8/12 2:00,10,挺烂的,https://movie.douban.com/review/10399937
pat.wu,2019/8/12 2:00,10,挺烂的,https://movie.douban.com/review/10399936
琉,2019/8/12 1:57,20,鹿晗没问题，换谁都是崩,https://movie.douban.com/review/10399930
Yunhoo,2019/8/12 1:48,30,上海堡垒就是及格吧……,https://movie.douban.com/review/10399912
JEEEY,2019/8/12 1:34,10,为什么给一星,https://movie.douban.com/review/10399893
遇见最初的自己,2019/8/12 1:34,10,几个不成熟的小槽点,https://movie.douban.com/review/10399892
苍雪,2019/8/12 1:30,10,鹿晗你偶像包袱太重，头发不剪，军帽不好好戴！,https://movie.douban.com/review/10399886
石石鱼,2019/8/12 1:25,20,一场事先宣扬的伪科幻,https://movie.douban.com/review/10399876
毒舌Q,2019/8/12 1:24,30,深夜刷电影，上海堡垒的成功与失败,https://movie.douban.com/review/10399871
看天上,2019/8/12 1:24,10,烂,https://movie.douban.com/review/10399870
金无衣,2019/8/12 1:23,10,堪比当年科幻巨制环大西洋,https://movie.douban.com/review/10399867
爸爸是爷爷,2019/8/12 0:54,20,流量和想利用流量圈钱的人，是时候醒一醒看世界了。,https://movie.douban.com/review/10399810
剑龙,2019/8/12 0:47,50,作为中国科幻电影工业的第一步大战外星人的影片，值得观看！,https://movie.douban.com/review/10399795
社会我昊哥,2019/8/12 0:39,10,如果电影从“向我开炮”开始,https://movie.douban.com/review/10399776
小邪神,2019/8/12 0:38,10,上海堡垒这个片子，真的挺好的,https://movie.douban.com/review/10399774
等宁宁下课,2019/8/12 0:35,20,情怀是好东西，可惜不值钱了,https://movie.douban.com/review/10399765
vc邪恶U,2019/8/12 0:30,50,我要给好评,https://movie.douban.com/review/10399757
豆友198234990,2019/8/12 0:27,10,这是烂片？？？睡不着……,https://movie.douban.com/review/10399747
Z· Han bear,2019/8/12 0:24,10,坑死一个算一个,https://movie.douban.com/review/10399739
Miss浮生一梦,2019/8/12 0:22,40,能让人留下情绪的电影，不该是烂片,https://movie.douban.com/review/10399732
最tm烦整天BB的,2019/8/12 0:17,10,瞎吐槽,https://movie.douban.com/review/10399717
bethlehem访风,2019/8/12 0:17,30,我觉得没那么烂,https://movie.douban.com/review/10399714
往后余生,2019/8/12 0:14,10,烂啊,https://movie.douban.com/review/10399704
布了个布,2019/8/12 0:08,10,107分钟好漫长呀……,https://movie.douban.com/review/10399682
中环,2019/8/12 0:08,30,别跟风，罪不至此,https://movie.douban.com/review/10399678
夜未央,2019/8/12 0:07,10,不够完美，还是不及格？马伊琍真的爱电影吗？,https://movie.douban.com/review/10399677
中环地产，罗禹,2019/8/12 0:05,10,可以别出来目害眼了，能回本就不错了,https://movie.douban.com/review/10399665
六六一只喵,2019/8/11 23:59,50,关于《上海堡垒》我的观影感受,https://movie.douban.com/review/10399647
.,2019/8/11 23:54,10,好难看,https://movie.douban.com/review/10399621
刘新宇,2019/8/11 23:53,50,客观的评价,https://movie.douban.com/review/10399619
豆子2008,2019/8/11 23:50,20,差！,https://movie.douban.com/review/10399608
狮七,2019/8/11 23:49,10,这是烂片？,https://movie.douban.com/review/10399604
華生,2019/8/11 23:48,20,没烂到底，但是真的不走心,https://movie.douban.com/review/10399600
我叫王希,2019/8/11 23:46,10,这个很辣鸡,https://movie.douban.com/review/10399596
陈龙,2019/8/11 23:43,10,全场娘炮摆动作摆姿态，影响下一代,https://movie.douban.com/review/10399587
苟利奈续,2019/8/11 23:42,10,无论从煽情还是科幻角度 都令人喷饭,https://movie.douban.com/review/10399582
吸吸,2019/8/11 23:39,20,没有那么烂，却也说不上好,https://movie.douban.com/review/10399570
豆友201718790,2019/8/11 23:39,10,令人失望,https://movie.douban.com/review/10399566
他们说的人,2019/8/11 23:37,10,特效烂！剧情烂！台词烂！演技烂！,https://movie.douban.com/review/10399561
艾先生,2019/8/11 23:28,10,烂片中的烂片,https://movie.douban.com/review/10399538
古慕离呈无分,2019/8/11 23:26,30,如果宣传是爱情片，或许没那么多嘲点,https://movie.douban.com/review/10399521
齐彬,2019/8/11 23:26,30,无比失望,https://movie.douban.com/review/10399520
荒漠孤狼,2019/8/11 23:21,10,有鹿必是烂片《上海堡垒》为代表的部分电影作品，无论我们怎么哄骗自己，真的无法使自己进入“被导演欺骗”的状态。自然我们的观影体验极差，并且走出影厅还在电影院卫生间的时候就觉得自己又看了一部烂片。,https://movie.douban.com/review/10399494
南南,2019/8/11 23:19,10,有话要说,https://movie.douban.com/review/10399486
乔小喵 ,2019/8/11 23:17,40,未知全貌，不予置评，看过了，说两句我认为的《上海堡垒》,https://movie.douban.com/review/10399479
王履安,2019/8/11 23:16,10,能有地方给退下电影票钱吗？,https://movie.douban.com/review/10399476
阿伟,2019/8/11 23:12,20,★中国科幻电影的标杆！★,https://movie.douban.com/review/10399464
-植物系SPIDER-,2019/8/11 23:05,30,“真正的堡垒是大家破釜沉舟的勇气”,https://movie.douban.com/review/10399437
凡凡,2019/8/11 23:01,10,失望。朋友们还是留着钱吧。,https://movie.douban.com/review/10399420
凡凡,2019/8/11 23:00,10,失望。朋友们还是留着钱吧。,https://movie.douban.com/review/10399413
玲珑骰子安红豆,2019/8/11 22:58,10,这什么玩意,https://movie.douban.com/review/10399410
Romada,2019/8/11 22:57,10,一首凉凉送给你,https://movie.douban.com/review/10399406
?????? ????·,2019/8/11 22:53,10,别再问真的有那么烂么,https://movie.douban.com/review/10399386
是大树吧i,2019/8/11 22:52,30,特效是值得一看的,https://movie.douban.com/review/10399380
80后愤世疾俗的,2019/8/11 22:50,20,中国科幻电影继续加油,https://movie.douban.com/review/10399377
豆友201712065,2019/8/11 22:49,20,上海堡垒，科幻电影的堡垒，无法突破，束缚着自己,https://movie.douban.com/review/10399374
悠游雪韵,2019/8/11 22:49,10,真的很差,https://movie.douban.com/review/10399369
QIN,2019/8/11 22:47,20,《上海：不设防的城市》个人观点 不喜憋着,https://movie.douban.com/review/10399367
tangmuyu,2019/8/11 22:41,10,欺骗他人是不对的,https://movie.douban.com/review/10399339
Bunny,2019/8/11 22:32,10,没话说,https://movie.douban.com/review/10399299
