播放次数,歌单拥有者,歌单标题,歌单连接
59147,KDYJ阿炫,一个人的民谣,https://music.163.com/playlist/2921311542
20万,我叫小郭y,一个十七岁男孩的民谣歌单.,https://music.163.com/playlist/2392948150
26万,王星宇丿,三剂良药：民谣、烟、酒,https://music.163.com/playlist/649486836
18万,清风徐来--_--,左耳谢春花右耳Jam，借我一暮年留在七月上,https://music.163.com/playlist/752737196
15万,如果我们没遇到过多好,伤感民谣:愿你终有归宿,https://music.163.com/playlist/2044180806
23万,康大帅比哈,【民谣】孤独亦是成长,https://music.163.com/playlist/2228365249
17万,作曲家_,民谣的梦里都有远方。,https://music.163.com/playlist/2123427272
20万,都是夜里崩溃的人啊,民谣患者的民谣歌单,https://music.163.com/playlist/2555913667
34万,52赫兹共振,民谣｜泪目集｜喧嚣过后最是落寞 泪眼婆娑,https://music.163.com/playlist/2789074957
15万,---阿无,向各位民谣大佬致敬,https://music.163.com/playlist/2341456840
16万,Sryyvio-,听一万次郭源潮,https://music.163.com/playlist/2226158933
20万,安静的民谣吖,【民谣】每一首民谣 都是一个故事,https://music.163.com/playlist/2480930370
51万,陌涵Moan,「民谣」你结婚了，我却一直活在记忆里,https://music.163.com/playlist/2474287781
67984,杜天凯,诗意耽误生活 层楼终误少年,https://music.163.com/playlist/2724774015
10万,汪佳奇_,敏感患者 | 故事民谣,https://music.163.com/playlist/2926021240
14万,心理医生羊驼,对酒当歌的夜，我们都逃不过四下无人的街,https://music.163.com/playlist/2520991077
32万,GUY_北湫,隔壁老樊 留声 枯木逢春 花粥 听不厌的民谣,https://music.163.com/playlist/2453062477
22万,余生未尔温,缱绻时光|愿世间的美好，都被温柔以待,https://music.163.com/playlist/2808247247
17万,吃狗粮的贱猫,一首民谣 半生往事,https://music.163.com/playlist/2352997301
14万,青言梦长歌,精选民谣 I 愿你被善待,https://music.163.com/playlist/2426591804
72772,一指特立独行,房东的猫ฅ（更新ing）,https://music.163.com/playlist/526907211
31万,用户126187007,长大了°连快乐都裹一层苦涩,https://music.163.com/playlist/2467468520
24万,歌单鬼才,睡前民谣：深夜耳边温柔催眠曲,https://music.163.com/playlist/2830548226
48万,易虞若,走在小巷，只是因为你来过,https://music.163.com/playlist/2945346114
42万,我抬头一看满街都是单身的狗4,民谣：让我抱抱，你那无人知晓的孤独,https://music.163.com/playlist/2481297517
30万,提线木偶11111,民谣里的词：总让人心驰神往,https://music.163.com/playlist/2638296028
